                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.82957,                0.89089,                 1.1886,                0.72041,                0.46688,                0.54839,                0.39537,                  1.319,                 1.6805,                 1.6656,             0.00094968,             0.00094968,             0.00094968
                     47,                 0.8142,                0.84544,                 1.1704,                0.58566,                0.48245,                0.50903,                0.36104,                  1.278,                 1.7789,                 1.6838,             0.00094602,             0.00094602,             0.00094602
                     48,                0.78922,                0.82885,                 1.1702,                0.59944,                0.52222,                0.53975,                0.37105,                 1.2962,                 1.6758,                 1.6654,             0.00094235,             0.00094235,             0.00094235
                     49,                0.79248,                0.81963,                  1.158,                0.53631,                0.52111,                0.48586,                 0.3386,                  1.357,                 1.7293,                  1.736,             0.00093868,             0.00093868,             0.00093868
                     50,                0.79653,                0.80992,                  1.173,                0.65222,                0.50523,                0.54815,                0.39324,                 1.3032,                 1.6416,                  1.646,             0.00093502,             0.00093502,             0.00093502
                     51,                0.77895,                0.81984,                 1.1594,                0.67671,                0.52257,                0.53521,                0.37363,                 1.3063,                 1.7362,                  1.704,             0.00093135,             0.00093135,             0.00093135
                     52,                0.78251,                0.78947,                 1.1618,                0.60188,                0.56613,                0.57952,                0.40506,                  1.295,                 1.6526,                 1.6491,             0.00092769,             0.00092769,             0.00092769
                     53,                0.76773,                0.77913,                 1.1501,                0.75486,                0.40646,                0.51722,                0.35704,                 1.3119,                 1.7706,                 1.6814,             0.00092402,             0.00092402,             0.00092402
                     54,                0.75831,                0.78117,                 1.1256,                0.51695,                0.51252,                0.51967,                0.37645,                 1.2706,                 1.7371,                 1.6691,             0.00092035,             0.00092035,             0.00092035
                     55,                 0.7819,                0.79582,                 1.1479,                0.54364,                0.48722,                0.50274,                0.34845,                 1.3059,                 1.7449,                 1.6717,             0.00091669,             0.00091669,             0.00091669
                     56,                0.77157,                0.80384,                 1.1486,                0.53409,                0.51634,                 0.5398,                0.37483,                 1.2978,                 1.6902,                  1.698,             0.00091302,             0.00091302,             0.00091302
                     57,                0.74574,                0.76295,                 1.1453,                0.53999,                0.49486,                0.51613,                0.36449,                 1.2772,                 1.8112,                 1.6756,             0.00090935,             0.00090935,             0.00090935
                     58,                0.75626,                0.72921,                 1.1321,                0.64585,                0.45961,                0.50966,                0.33723,                 1.3665,                 1.8703,                    1.8,             0.00090569,             0.00090569,             0.00090569
                     59,                0.74007,                0.73993,                 1.1369,                0.61769,                0.49672,                0.56124,                0.37073,                 1.3015,                 1.6752,                 1.6817,             0.00090202,             0.00090202,             0.00090202
                     60,                0.74212,                0.74441,                 1.1349,                0.73641,                0.49237,                0.57252,                 0.4031,                 1.2561,                  1.616,                 1.6253,             0.00089835,             0.00089835,             0.00089835
                     61,                0.74022,                0.71888,                 1.1266,                0.58873,                0.58868,                0.56769,                0.40591,                  1.281,                 1.6854,                 1.6816,             0.00089469,             0.00089469,             0.00089469
                     62,                0.75071,                0.75339,                  1.129,                0.62968,                0.52974,                0.55264,                0.36936,                 1.4304,                 1.7149,                 1.8273,             0.00089102,             0.00089102,             0.00089102
                     63,                 0.7274,                0.72891,                 1.1268,                0.65554,                  0.449,                0.52366,                0.36612,                 1.3417,                 1.7142,                 1.7529,             0.00088736,             0.00088736,             0.00088736
                     64,                0.71827,                0.72908,                 1.1217,                0.55983,                0.50404,                0.50469,                 0.3531,                 1.3809,                 1.8349,                 1.7645,             0.00088369,             0.00088369,             0.00088369
                     65,                0.73187,                0.70776,                 1.1129,                0.55457,                0.53226,                0.50823,                0.36645,                 1.3232,                 1.8045,                  1.755,             0.00088002,             0.00088002,             0.00088002
                     66,                0.74224,                0.70437,                 1.1198,                0.63211,                0.52394,                0.55537,                0.39897,                 1.2911,                 1.7841,                 1.6639,             0.00087636,             0.00087636,             0.00087636
