                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.28232,                0.21545,                0.91973,                0.99941,                      1,                  0.995,                0.99192,                0.15889,                   0.13,                 0.7949,               0.006898,               0.006898,               0.006898
                     96,                0.27445,                 0.2031,                0.91152,                0.99938,                      1,                  0.995,                0.99077,                0.15619,                0.12372,                0.79615,               0.006865,               0.006865,               0.006865
                     97,                0.28451,                0.21501,                0.92431,                0.99943,                      1,                  0.995,                 0.9911,                0.15961,                0.12921,                0.79875,               0.006832,               0.006832,               0.006832
                     98,                0.28582,                0.21714,                0.90876,                0.99944,                      1,                  0.995,                0.99429,                0.15132,                0.13109,                0.79565,               0.006799,               0.006799,               0.006799
                     99,                0.26862,                0.20706,                0.91185,                0.99943,                      1,                  0.995,                0.99222,                0.14885,                0.12781,                0.79601,               0.006766,               0.006766,               0.006766
                    100,                0.26589,                0.20164,                0.90658,                0.99939,                      1,                  0.995,                0.99196,                0.15026,                0.12874,                0.79457,               0.006733,               0.006733,               0.006733
                    101,                0.27831,                0.20807,                0.91125,                0.99945,                      1,                  0.995,                0.98982,                0.14922,                0.13189,                0.79049,                 0.0067,                 0.0067,                 0.0067
                    102,                 0.2716,                0.20712,                0.90319,                0.99945,                      1,                  0.995,                0.99268,                0.14385,                0.11961,                0.79128,               0.006667,               0.006667,               0.006667
                    103,                0.27139,                0.21053,                0.90848,                0.99944,                      1,                  0.995,                0.99354,                0.14557,                0.12267,                0.79034,               0.006634,               0.006634,               0.006634
                    104,                 0.2619,                0.20287,                0.90723,                0.99938,                      1,                  0.995,                 0.9921,                0.14945,                0.12852,                0.79307,               0.006601,               0.006601,               0.006601
                    105,                0.25992,                0.20293,                0.91097,                0.99913,                      1,                  0.995,                0.99349,                0.14536,                 0.1261,                0.78792,               0.006568,               0.006568,               0.006568
                    106,                0.26508,                0.20145,                0.89977,                0.99944,                      1,                  0.995,                0.99208,                 0.1462,                0.12536,                0.78723,               0.006535,               0.006535,               0.006535
                    107,                0.26904,                0.20245,                0.90937,                0.99944,                      1,                  0.995,                0.99264,                0.14974,                0.12254,                0.79237,               0.006502,               0.006502,               0.006502
                    108,                0.26039,                 0.2086,                0.90634,                0.99942,                      1,                  0.995,                0.99474,                 0.1384,                0.12688,                0.79284,               0.006469,               0.006469,               0.006469
                    109,                0.25532,                0.20158,                0.90328,                0.99936,                      1,                  0.995,                0.99292,                0.13808,                0.11751,                0.78509,               0.006436,               0.006436,               0.006436
                    110,                0.26103,                0.20312,                0.90055,                0.99935,                      1,                  0.995,                0.99106,                0.13393,                0.12028,                0.78687,               0.006403,               0.006403,               0.006403
                    111,                0.25346,                0.19823,                0.89537,                0.99939,                      1,                  0.995,                0.99411,                0.13154,                0.11847,                0.78382,                0.00637,                0.00637,                0.00637
                    112,                0.24596,                0.19127,                 0.9013,                0.99935,                      1,                  0.995,                0.99225,                0.13851,                0.11892,                0.78714,               0.006337,               0.006337,               0.006337
                    113,                0.25719,                0.19778,                0.89894,                0.99942,                      1,                  0.995,                0.99421,                0.13296,                0.12006,                0.78422,               0.006304,               0.006304,               0.006304
                    114,                0.26018,                0.20009,                0.90332,                0.99945,                      1,                  0.995,                0.99362,                0.12906,                0.11759,                0.78468,               0.006271,               0.006271,               0.006271
                    115,                0.25496,                0.19588,                0.90209,                0.99945,                      1,                  0.995,                 0.9947,                0.12292,                0.11248,                0.78556,               0.006238,               0.006238,               0.006238
                    116,                0.25454,                 0.1968,                0.89705,                0.99944,                      1,                  0.995,                 0.9941,                 0.1273,                0.11481,                0.78533,               0.006205,               0.006205,               0.006205
